position_group,k,inertia,silhouette,min_cluster_size,max_cluster_size,min_cluster_share,min_cluster_silhouette,stability_ari
GK,2,746.0578507822534,0.1812731024829019,68,86,0.44155844155844154,0.1309071021608917,0.9740251627331675
GK,3,647.4582579896486,0.16135592936228005,48,56,0.3116883116883117,0.13827972119484433,0.9003984853230098
GK,4,577.9068550128991,0.1643650639400289,26,48,0.16883116883116883,0.07390786198288501,0.7626180791192088
GK,5,520.9060197957394,0.16831112865263217,16,44,0.1038961038961039,0.07471182393300314,0.8236947070554155
GK,6,474.32711943906895,0.1875034342158574,12,49,0.07792207792207792,0.15139584840082235,0.8327989435784428
GK,7,440.371745962391,0.1633440502047287,12,33,0.07792207792207792,0.08395178465464492,0.771410825994267
GK,8,414.04202277010995,0.15864899947570718,13,25,0.08441558441558442,0.10946629818499501,0.5963184332270346
GK,9,397.44512646329355,0.16493636298319508,2,27,0.012987012987012988,0.1169473991014352,0.5871474915993659
GK,10,375.6567401489553,0.15536881893302018,9,27,0.05844155844155844,0.0562237128157662,0.5296003488140455
DEF,2,10607.66770864276,0.22647529889451007,354,394,0.4732620320855615,0.19802536696281753,0.9946595478632377
DEF,3,9773.382277009321,0.15429228250503213,158,328,0.21122994652406418,0.10873149634487454,0.9915066378242521
DEF,4,9144.716764379205,0.12595986006840157,145,247,0.19385026737967914,0.09530823428899403,0.9836959317456289
DEF,5,8736.54472028765,0.12170064365369097,103,239,0.13770053475935828,0.07407428845307316,0.9580113315567698
DEF,6,8444.535490820685,0.09399103726540475,96,162,0.12834224598930483,0.08072734356322973,0.8284383837871505
DEF,7,8209.839999128122,0.08726179092995301,69,133,0.09224598930481283,0.05773824549979179,0.8458143127742381
DEF,8,8029.685610588462,0.08152282553987125,66,123,0.08823529411764706,0.04801978870936872,0.6400871293197539
DEF,9,7857.580001242025,0.07909507511476599,58,106,0.07754010695187166,0.053335315914916734,0.6303458947684133
DEF,10,7709.717415692925,0.07523791132497092,57,93,0.07620320855614973,0.05298876264972045,0.6029281328562361
MID,2,7180.96079423913,0.24065007884852346,231,373,0.3824503311258278,0.16469173942069196,1.0
MID,3,6420.03312004554,0.16677718301606137,139,269,0.23013245033112584,0.1150393652243724,1.0
MID,4,5904.352244151285,0.14905273774646952,101,224,0.1672185430463576,0.10964050088511386,0.9741468519508187
MID,5,5594.081309918995,0.12258193407856516,86,158,0.1423841059602649,0.09381473808285806,0.8170229172585913
MID,6,5329.752063330514,0.11718073691839863,76,142,0.12582781456953643,0.07115507433078495,0.8155807581219789
MID,7,5139.360193447136,0.1055757758147268,68,119,0.11258278145695365,0.06869217794585562,0.8197281750849243
MID,8,5002.733018179083,0.10136411583343408,46,106,0.076158940397351,0.05847759895794468,0.7137500614256204
MID,9,4870.636132706922,0.09986695721509194,39,103,0.06456953642384106,0.06693961764865394,0.5446607667548697
MID,10,4758.373166620468,0.09760853606380544,36,85,0.059602649006622516,0.05919265034297327,0.6441416105121867
FWD,2,6727.311361707658,0.22443467738349956,213,240,0.47019867549668876,0.19409066594439317,1.0
FWD,3,5939.050336720771,0.174380548805034,111,195,0.24503311258278146,0.08917004727162005,0.9262508933080176
FWD,4,5423.674173556921,0.15437694249187994,74,168,0.16335540838852097,0.10788573627404445,0.9888492766312953
FWD,5,5154.737275150838,0.12978297148811138,30,132,0.06622516556291391,0.08956355168251373,0.9519002600283212
FWD,6,4943.471076765276,0.12268679920447628,26,121,0.05739514348785872,0.07696142548588801,0.8690751639953049
FWD,7,4775.398010888199,0.1003700289096325,25,86,0.05518763796909492,0.06985657831640926,0.871804515096778
FWD,8,4654.193416858279,0.09596919377880782,25,84,0.05518763796909492,0.07038699483845588,0.7092294826463538
FWD,9,4550.769486651103,0.09660939694450005,23,77,0.05077262693156733,0.06053750866706055,0.561011303134529
FWD,10,4434.456153551933,0.09052247099862969,25,67,0.05518763796909492,0.055881645653321245,0.47831691277156346
